round,acc,loss,up_bytes,down_bytes
1,96.36,0.1160,1777040,0
2,97.79,0.0610,1777040,0
3,98.26,0.0470,1777040,0
4,98.76,0.0380,1777040,0
5,98.62,0.0410,1777040,0
6,98.61,0.0370,1777040,0
7,98.79,0.0310,1777040,0
8,98.69,0.0360,1777040,0
9,98.86,0.0310,1777040,0
10,98.80,0.0330,1777040,0
11,98.80,0.0410,1777040,0
12,98.91,0.0290,1777040,0
13,98.46,0.0430,1777040,0
14,98.74,0.0390,1777040,0
15,98.85,0.0290,1777040,0
16,98.94,0.0330,1777040,0
17,98.81,0.0340,1777040,0
18,98.96,0.0350,1777040,0
19,98.76,0.0400,1777040,0
20,98.83,0.0360,1777040,0
21,98.77,0.0430,1777040,0
22,98.84,0.0430,1777040,0
