round,acc,loss,up_bytes,down_bytes
1,6.83,2.3700,163840,0
2,9.59,2.3500,163840,0
3,9.60,2.3530,163840,0
4,9.63,2.3410,163840,0
5,8.72,2.3460,163840,0
6,7.18,2.3540,163840,0
7,9.01,2.3470,163840,0
8,7.77,2.3490,163840,0
9,8.37,2.3580,163840,0
10,8.32,2.3470,163840,0
11,10.50,2.3290,163840,0
12,6.88,2.3440,163840,0
13,5.56,2.3520,163840,0
14,9.23,2.3310,163840,0
15,9.85,2.3210,163840,0
16,6.87,2.3430,163840,0
17,7.90,2.3370,163840,0
18,6.80,2.3380,163840,0
19,9.15,2.3230,163840,0
20,9.96,2.3270,163840,0
21,7.91,2.3320,163840,0
