round,acc,loss,up_bytes,down_bytes
1,96.36,0.1160,1777040,0
2,97.78,0.0630,1777040,0
3,98.26,0.0470,1777040,0
4,98.60,0.0410,1777040,0
5,98.63,0.0410,1777040,0
6,98.76,0.0330,1777040,0
7,98.67,0.0330,1777040,0
8,98.76,0.0340,1777040,0
9,98.91,0.0300,1777040,0
10,98.70,0.0380,1777040,0
11,98.73,0.0420,1777040,0
12,98.85,0.0360,1777040,0
13,98.68,0.0380,1777040,0
14,98.92,0.0340,1777040,0
15,98.63,0.0440,1777040,0
16,98.86,0.0350,1777040,0
17,98.98,0.0310,1777040,0
18,98.83,0.0370,1777040,0
19,98.74,0.0420,1777040,0
