round,acc,loss,up_bytes,down_bytes
1,96.36,0.1160,1777040,0
2,97.85,0.0600,1777040,0
3,98.07,0.0520,1777040,0
4,98.41,0.0440,1777040,0
5,98.64,0.0390,1777040,0
6,98.53,0.0390,1777040,0
7,98.85,0.0320,1777040,0
8,98.72,0.0350,1777040,0
9,98.78,0.0330,1777040,0
10,98.74,0.0360,1777040,0
11,98.78,0.0360,1777040,0
12,98.95,0.0280,1777040,0
13,98.65,0.0350,1777040,0
14,98.84,0.0320,1777040,0
15,98.56,0.0410,1777040,0
16,98.88,0.0350,1777040,0
17,99.02,0.0320,1777040,0
18,98.75,0.0460,1777040,0
19,98.80,0.0420,1777040,0
20,98.88,0.0420,1777040,0
21,98.81,0.0420,1777040,0
22,98.61,0.0470,1777040,0
23,98.60,0.0530,1777040,0
24,98.77,0.0510,1777040,0
25,98.67,0.0500,1777040,0
26,98.83,0.0450,1777040,0
27,98.79,0.0520,1777040,0
