round,acc,loss,up_bytes,down_bytes
1,96.12,0.1000,3342433,0
2,97.29,0.0600,3342311,0
3,97.71,0.0500,3343490,0
4,97.48,0.0500,3343139,0
5,97.99,0.0400,3342514,0
6,98.02,0.0400,3342988,0
7,98.07,0.0400,3342572,0
8,98.13,0.0300,3343421,0
9,98.12,0.0300,3342937,0
10,98.03,0.0400,3343358,0
11,98.00,0.0400,3342714,0
12,98.00,0.0400,3342481,0
13,97.95,0.0500,3343607,0
14,98.07,0.0400,3342114,0
15,97.92,0.0500,3343239,0
16,98.06,0.0400,3343440,0
17,98.01,0.0600,3343594,0
18,98.29,0.0400,3342944,0
19,98.22,0.0400,3343007,0
20,98.17,0.0500,3342206,0
21,97.98,0.0600,3343022,0
22,98.06,0.0500,3343306,0
23,98.23,0.0500,3343536,0
24,98.01,0.0600,3341316,0
25,98.03,0.0600,3342987,0
26,98.01,0.0500,3341656,0
27,98.15,0.0500,3343363,0
28,98.08,0.0600,3343471,0
