round,acc,loss,up_bytes,down_bytes
1,95.24,0.1200,5014926,0
2,97.29,0.0600,5014450,0
3,97.73,0.0400,5013272,0
4,97.97,0.0400,5014498,0
5,97.73,0.0400,5015197,0
6,97.98,0.0400,5015779,0
7,98.16,0.0300,5014377,0
8,98.18,0.0300,5014564,0
9,98.16,0.0300,5015706,0
10,97.98,0.0400,5013490,0
11,98.10,0.0400,5015157,0
12,98.08,0.0400,5014753,0
13,97.87,0.0500,5014144,0
14,97.99,0.0400,5013253,0
15,98.16,0.0400,5014802,0
16,98.13,0.0400,5013635,0
17,98.12,0.0400,5013822,0
